institution,rank_2020,rank_2019,country,size,focus,research_intensity,age,status,academic_ reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,overall_score
Aalborg University,324,343,Denmark,L,FC,VH,3,A,34.2,241,6.2,501,10.6,601,39.2,333,8.5,601,20.3,527,25.8
Aalto University,134,140,Finland,L,FO,VH,1,A,9.8,501,3.8,501,72.6,180,20.1,554,18.5,566,13.3,601,24.5
Aarhus University,145,141,Denmark,L,FC,VH,4,A,19.1,437,10.2,501,67.2,207,24.2,489,86.5,185,58.3,243,34.3
Aberystwyth University,484,432,United Kingdom,M,CO,VH,5,A,25.2,328,37.2,254,7.6,601,62,133,91.3,159,56.7,255,35.2
Al-Farabi Kazakh National University,207,220,Kazakhstan,L,CO,HI,4,A,11,501,3.9,501,36.8,425,100,5,10.1,601,7.2,601,33.1
American University of Beirut (AUB),244,237,Lebanon,M,FC,VH,5,A,28.9,294,36,268,43.5,351,64.9,120,99.5,71,96.5,68,46.8
American University of Sharjah,371,376,United Arab Emirates,S,FC,HI,2,A,18,463,4.7,501,55.1,268,24.1,492,11.6,601,12.7,601,24.8
Amirkabir University of Technology,489,498,Iran,M,FO,VH,4,A,21.3,385,21.3,433,30.7,494,29.6,437,69.1,254,28.7,442,27.7
Arizona State University,215,212,United States,XL,CO,VH,5,A,39.4,206,38.5,247,77.9,153,43.4,295,71.1,247,11.6,601,48.2
Aston University,442,381,United Kingdom,L,CO,HI,4,B,5.9,501,7.8,501,100,14,19.6,562,7.4,601,16.2,582,28.3
Auckland University of Technology,442,464,New Zealand,L,CO,HI,2,A,31.2,265,15.5,501,35.5,440,14.7,601,5.9,601,2.2,601,24.6
Australian National University (ANU),29,24,Australia,L,FC,VH,4,A,35.3,235,33.2,288,49.7,306,32.2,416,11.4,601,7.6,601,34.9
Bandung Institute of Technology (ITB),331,359,Indonesia,L,CO,VH,4,A,30.2,279,26.3,356,30.9,491,26.9,457,70,251,12.8,601,30.5
Bauman Moscow State Technical University,284,299,Russia,L,CO,HI,5,A,51.2,151,19,485,66.1,213,24.1,494,45.1,358,26.6,462,44.2
Beihang University,462,491,China,L,CO,VH,4,A,30.1,281,13.1,501,19,601,37.1,364,12.4,601,57.2,252,28.1
Beijing Institute of Technology,436,464,China,L,FO,VH,4,,24.8,338,30.7,312,29,517,38.1,345,29.2,469,8.6,601,28.4
Beijing Normal University,277,292,China,L,CO,VH,5,A,32.9,256,57.7,137,8.6,601,78.7,59,75,235,87.6,119,44.7
Belarus State University,351,354,Belarus,L,FO,HI,4,A,22.3,375,5.4,501,28.4,532,63.2,127,30.9,452,8,601,29.8
Ben Gurion University of The Negev,419,407,Israel,L,FC,VH,4,A,13.6,501,2.8,501,81.8,135,12.1,601,69.6,253,10.3,601,28.6
"Birkbeck College, University of London",328,306,United Kingdom,M,FO,VH,5,A,47,167,36,267,13.4,601,44.3,285,99.3,74,59.2,238,42
Bond University,442,443,Australia,S,FC,HI,3,B,4.7,501,1.9,501,96.5,53,17.1,601,3.2,601,4.3,601,25.2
Boston College,432,376,United States,L,CO,HI,5,A,18.6,446,15.4,501,41.5,371,49.8,230,99.9,61,90.4,109,36.9
Boston University,98,93,United States,L,FC,VH,5,A,65.6,97,78.8,79,54.8,272,49.3,237,91.8,154,85.7,125,64
Brandeis University,468,429,United States,M,CO,VH,4,A,12.1,501,28.1,334,19.3,601,79.3,57,5.7,601,4.5,601,28
Brown University,57,56,United States,M,FC,VH,5,A,88.5,45,82.2,69,27.7,542,81.8,50,100,36,99.5,34,75.7
Brunel University,359,332,United Kingdom,L,CO,VH,4,A,19.3,429,9,501,13.2,601,41.9,314,99.7,63,99.4,35,29.7
California Institute of Technology (Caltech),5,4,United States,S,CO,VH,5,B,97.8,23,81.2,74,100,4,100,4,99.4,72,87.3,121,96.9
Cardiff University,154,145,United Kingdom,L,FC,VH,5,A,30.3,278,38.2,250,63.7,224,90.6,30,100,40,46.6,307,54.3
Carnegie Mellon University,48,46,United States,L,FC,VH,5,A,83.4,60,93.8,34,86.5,99,57.8,157,92.7,147,42.9,329,78.6
Case Western Reserve University,167,186,United States,M,FC,VH,5,B,58.5,125,60,126,28.7,523,64.5,121,21.7,528,75,164,53.1
CentraleSupelec,139,137,France,S,FO,VH,1,A,4.7,501,15,501,7.4,601,94.9,22,7,601,2.6,601,24.4
Chalmers University of Technology,125,128,Sweden,M,CO,VH,5,A,70.3,84,33.9,284,23.3,601,80.4,54,65.3,268,60.6,233,58.7
Chang Gung University,484,429,Taiwan,M,FO,VH,3,A,18.3,455,25.9,366,8.7,601,28.3,447,100,32,55.1,265,25.1
Charles University,291,317,Czech Republic,XL,FC,VH,5,A,39.2,210,46.6,191,64.3,220,46.1,264,14.6,601,15.8,588,44.1
Chiba University,442,464,Japan,L,FC,VH,5,A,20.4,406,19.9,462,66.1,214,16,601,98.4,92,99.3,36,36.6
Christian-Albrechts-Universitat zu Kiel,478,453,Germany,L,FC,VH,5,A,26.6,317,41.1,231,21.6,601,78.4,62,5.3,601,1,601,35.2
Chulalongkorn University,247,271,Thailand,XL,FC,HI,5,A,39.3,208,76.5,85,7.6,601,68.5,97,77.6,225,84.1,129,46.8
Chung-Ang University,412,397,South Korea,L,FC,HI,5,A,24.4,346,30.6,316,64.2,221,43.6,291,24.3,508,36.7,374,37.6
City University of Hong Kong,52,55,Hong Kong,M,CO,VH,3,B,17,483,7.4,501,16.1,601,51.7,209,23.1,518,100,22,27.3
"City, University of London",349,351,United Kingdom,L,CO,VH,5,,4.7,501,43.2,216,95.1,60,28.2,447,95,133,99.7,32,40.7
Colorado State University,442,450,United States,L,CO,VH,5,A,19.7,421,17.8,501,14.9,601,75.3,72,97.8,106,78.3,152,36.6
Columbia University,18,16,United States,L,FC,VH,5,B,99.9,9,99.9,7,100,5,53.5,190,78.1,224,57.4,249,87.7
Concordia University,462,464,Canada,XL,CO,VH,3,B,34,248,70.6,97,17,601,2.5,601,6.5,601,2,601,25.1
Cornell University,14,14,United States,L,FC,VH,5,B,99.9,10,98.6,19,70.7,192,100,3,64.9,272,67.6,197,90.9
Curtin University,230,250,Australia,L,CO,VH,3,A,22.8,364,16.7,501,2.5,601,59.6,145,34.3,432,33.8,400,26.7
Czech Technical University In Prague,498,531-540,Czech Republic,L,SP,VH,5,A,14.4,501,16.9,501,99.9,28,33.2,402,5.8,601,7.8,601,34.9
Dalhousie University,280,279,Canada,L,FC,VH,5,A,29.5,289,23.2,403,39.6,390,63.6,126,95.7,127,98.2,52,44.6
Dartmouth College,207,183,United States,M,FC,VH,5,B,36.9,226,88.9,53,89.5,82,4.6,601,98.2,98,18.4,549,48.5
Deakin University,271,309,Australia,XL,FC,VH,3,A,10.5,501,10.5,501,77.2,159,3.3,601,16.8,591,78.1,153,26.2
Delft University of Technology,50,52,Netherlands,L,CO,VH,5,A,97.5,25,96.4,26,23.6,597,70.9,90,100,42,100,20,77.8
Dongguk University,454,432,South Korea,L,FC,HI,5,A,35,238,13.1,501,70.3,193,22.3,519,16,600,30.4,428,36.3
Dublin City University (DCU),429,422,Ireland,L,CO,HI,3,A,15.8,501,6,501,10,601,66,112,47.9,343,12.7,601,25.2
Duke University,25,26,United States,L,FC,VH,5,B,88.3,48,52.6,156,100,13,77.6,64,68.8,256,81.5,140,83.9
Durham University,78,74,United Kingdom,L,FC,VH,5,A,74.4,76,94.1,32,55.3,267,50.3,225,97.8,105,99.1,40,70.4
Eberhard Karls Universitat Tubingen,169,168,Germany,L,FC,VH,5,A,51.9,147,31.7,302,84.2,121,39,334,65.2,269,20.1,532,53
Ecole des Ponts ParisTech,250,263,France,S,FO,VH,5,A,51.7,148,41.4,229,19.6,601,48.2,247,100,33,62.9,219,46.7
Ecole Normale Superieure de Lyon,160,153,France,S,CO,VH,5,A,52.6,145,41.9,225,34.4,452,58.8,150,98.5,90,97.9,55,53.9
Ecole Polytechnique,60,65,France,S,CO,VH,5,A,76.6,70,84.2,63,72.8,179,61.8,135,89.4,173,75.6,159,74.5
Ecole Polytechnique Federale de Lausanne (EPFL),18,22,Switzerland,M,FO,VH,5,B,99.7,12,97.6,23,100,19,53,199,40.1,397,96.9,63,87.4
Eindhoven University of Technology,102,99,Netherlands,M,FO,VH,4,A,13.4,501,6.2,501,94.9,61,6.2,601,100,47,66.2,201,34.6
Emory University,156,148,United States,L,FC,VH,5,B,30.5,273,61.4,122,66.3,212,73.1,78,96.8,118,56,261,54
ENS Paris-Saclay,312,305,France,S,CO,VH,5,B,29.8,285,42.6,220,67.3,206,49.8,231,43.1,371,20.6,525,42.9
Erasmus University Rotterdam,183,179,Netherlands,L,FO,VH,5,A,15.8,501,100,6,88.7,87,45.4,275,72.1,243,90.1,110,51.4
ETH Zurich (Swiss Federal Institute of Technology),6,7,Switzerland,L,CO,VH,5,A,98.4,22,96.7,25,85,113,98.4,15,100,19,98,53,95.9
Ewha Womans University,331,319,South Korea,L,FC,HI,5,A,31.1,266,15.3,501,39.4,394,76.7,67,54.4,316,26.2,470,41.4
Flinders University,424,478,Australia,L,FC,HI,4,A,18.2,459,8,501,82.3,133,3.5,601,9.7,601,53.1,274,28.5
Florida State University,448,472,United States,XL,FC,VH,5,A,9.3,501,9.7,501,77.3,158,42.2,307,100,9,55.6,264,36.5
Freie Universitat Berlin,130,130,Germany,XL,FC,HI,4,A,48.4,162,23.3,400,10.7,601,46.8,258,10.8,601,8.3,601,34.3
Fudan University,40,44,China,XL,FC,VH,5,A,100,8,99.7,11,40.6,378,88.3,37,50.4,335,38.2,357,80.4
Georg-August-Universitat Gottingen,197,197,Germany,XL,FC,VH,5,A,60.4,119,84.3,61,6.3,601,56.9,164,44.6,364,54.5,269,50.4
George Washington University,336,345,United States,L,FC,VH,5,A,33.9,251,45,201,73.3,177,22.7,511,27.3,479,53.7,271,41.4
Georgetown University,226,226,United States,L,FC,VH,5,A,71.8,80,45.5,198,32.5,466,29.8,435,5.8,601,33.8,401,47.9
Georgia Institute of Technology (Georgia Tech),72,69,United States,L,CO,VH,5,A,88,50,91.9,42,17.1,601,64.2,123,100,44,99.9,27,70.9
"Goldsmiths, University of London",417,396,United Kingdom,M,FO,VH,5,B,20.2,410,9.8,501,78.9,149,45.7,272,29.4,464,38.5,354,37.5
Griffith University,320,329,Australia,XL,FC,VH,3,C,10,501,35.1,273,57.6,255,3.6,601,41.7,384,81.1,142,26
Gwangju Institute of Science and Technology (GIST),322,315,South Korea,S,FO,VH,3,A,26.9,313,43.3,215,12,601,35.4,382,17.8,576,5.7,601,25.8
Hanyang University,150,151,South Korea,L,FC,VH,4,A,24.8,337,28.4,330,43.8,345,54,188,20.9,539,11.6,601,34.1
Harbin Institute of Technology,277,285,China,XL,FO,VH,4,A,7.8,501,7,501,82.9,127,37.2,363,48.8,340,28.2,451,31.8
Harvard University,3,3,United States,L,FC,VH,5,B,100,1,100,1,98.7,40,99.6,8,86.3,186,62.2,221,97.4
Hebrew University of Jerusalem,162,154,Israel,L,FC,VH,5,B,85.2,56,95.5,30,28.6,524,13.6,601,19.4,554,4.2,601,53.4
Heriot-Watt University,314,302,United Kingdom,M,CO,VH,4,A,37,224,24.2,387,16.1,601,47.4,255,5.5,601,12.7,601,30.9
Hiroshima University,334,321,Japan,L,FC,VH,4,A,11.2,501,5,501,100,11,21.8,527,3.6,601,16.7,572,30.5
Hitotsubashi University,448,456,Japan,M,SP,HI,5,A,20.5,405,17.3,501,99.8,29,4.5,601,23.4,517,88.9,113,36.5
Hokkaido University,132,128,Japan,L,FC,VH,5,A,51.1,152,23.7,395,52.6,287,73.6,76,100,37,97.8,56,58.1
Hong Kong Baptist University (HKBU),261,277,Hong Kong,M,FC,VH,3,A,9.8,501,13.7,501,83.3,125,6.3,601,18.3,567,44.1,321,26.4
Huazhong University of Science and Technology,400,415,China,XL,FC,VH,4,B,9.8,501,9.6,501,84.6,116,1.2,601,35.1,427,97.5,59,28.8
HUFS Hankuk (Korea) University of Foreign Studies,407,387,South Korea,L,CO,HI,4,A,11.2,501,6.4,501,24.3,586,43.9,287,100,10,96.2,72,28.7
Humboldt-Universitat zu Berlin,120,121,Germany,XL,FC,HI,5,A,45.2,176,51.6,162,65.3,217,67.4,106,98.7,86,99.8,28,59.9
IE University,335,,Spain,M,CO,LO,2,A,14.5,501,25.8,369,15.7,601,24.3,488,100,35,67.8,195,24.9
Illinois Institute of Technology,421,426,United States,M,CO,VH,5,,48.5,161,7.6,501,33.5,457,46.1,265,19.1,558,7.5,601,37.5
Imperial College London,9,8,United Kingdom,L,FC,VH,5,A,98.6,21,99.9,9,99.8,30,72.1,85,100,46,100,14,94.1
Indian Institute of Science (IISc) Bangalore,184,170,India,S,SP,VH,5,A,40.4,200,42.5,223,85,112,32.4,413,97.9,104,45.1,314,51.2
Indian Institute of Technology Bombay (IITB),152,162,India,M,CO,VH,4,A,38.2,216,42.9,217,28.6,525,20.4,550,53.2,320,37.7,363,34
Indian Institute of Technology Delhi (IITD),182,172,India,M,CO,VH,4,A,23.7,354,23,407,6.4,601,55.5,180,91.7,155,91.5,102,33.4
Indian Institute of Technology Guwahati (IITG),491,472,India,M,CO,VH,3,B,36.5,227,56.3,142,19.2,601,1.7,601,7,601,2.3,601,25
Indian Institute of Technology Kanpur (IITK),291,283,India,M,CO,VH,4,A,32.6,258,51.5,164,3.2,601,53,197,3.9,601,30.1,431,31.2
Indian Institute of Technology Kharagpur (IITKGP),281,295,India,M,FO,VH,4,A,19.1,435,12.5,501,9.1,601,70.4,92,86.2,187,52.2,279,31.8
Indian Institute of Technology Madras (IITM),271,264,India,M,CO,VH,4,A,40.5,199,28.1,335,15.6,601,38.2,342,8,601,32.5,409,31.9
Indian Institute of Technology Roorkee (IITR),383,381,India,M,FO,VH,5,A,55.1,136,38.7,245,13.3,601,49.8,233,12.5,601,6.1,601,39.6
Indiana University Bloomington,312,323,United States,XL,FC,VH,5,A,30.4,276,65.7,110,9.1,601,73.5,77,98.4,91,50.1,288,42.8
ITMO University,436,511-520,Russia,M,FO,VH,5,A,27.1,311,13,501,80.4,142,21.3,535,42.9,374,40.3,344,36.8
Jagiellonian University,338,411,Poland,XL,FC,HI,5,A,35.4,233,40.5,235,7.8,601,95.4,19,35.2,425,11.8,601,41.3
James Cook University (JCU),377,369,Australia,L,FC,HI,3,A,26.1,320,4,501,26.5,561,44.1,286,7.6,601,4.5,601,25.7
Jilin University,484,475,China,XL,FC,VH,4,A,25,331,6.4,501,54.9,269,17.6,595,46.3,349,5.2,601,27.8
Johannes Gutenberg Universitat Mainz,410,407,Germany,XL,FC,VH,5,A,8.7,501,53.9,149,92.1,73,20.2,553,27.1,484,99.7,31,37.8
Johannes Kepler Universitat Linz (JKU),412,456,Austria,M,CO,VH,4,A,40.7,197,19.8,463,11.4,601,36.6,368,6.8,601,5.5,601,28.6
Johns Hopkins University,24,21,United States,L,FC,VH,5,A,100,7,99.1,16,93.3,69,67.9,102,11.1,601,26.2,469,84.3
Julius-Maximilians-Universitat Wurzburg,462,521-530,Germany,L,FC,VH,5,A,25.1,329,19.9,460,27.5,545,51.9,207,100,25,58.2,244,35.9
KAIST - Korea Advanced Institute of Science and Technology,41,40,South Korea,M,CO,VH,3,B,10.6,501,5.1,501,85.7,103,17.2,601,17.6,581,22.1,503,27.4
Katholieke Universiteit Leuven,80,81,Belgium,XL,FC,VH,5,A,81.1,61,56,143,44.8,336,75.9,70,79.5,219,52.5,278,69
Kazan Federal University,392,439,Russia,L,FO,VH,5,A,36.2,228,69.9,98,8.7,601,53.5,191,72.8,240,25.4,479,39
Keio University,200,198,Japan,XL,FC,VH,5,A,54.5,138,71.2,95,45.8,326,54.6,184,3.4,601,1.6,601,49.4
Khalifa University,268,315,United Arab Emirates,S,SP,VH,2,A,37.1,223,43.7,212,12.1,601,15.6,601,1.7,601,1.8,601,25
King Abdul Aziz University (KAU),186,231,Saudi Arabia,XL,FC,VH,4,A,18,462,63.6,114,6.7,601,76.2,69,35.2,426,27.8,454,33.4
King Fahd University of Petroleum & Minerals (KFUPM),200,189,Saudi Arabia,M,CO,VH,4,A,41.3,193,36.7,262,51.3,297,1.6,601,42.9,375,2.5,601,33.2
King Saud University (KSU),281,256,Saudi Arabia,XL,FC,VH,4,B,18.9,441,18.2,495,20.6,601,45.5,273,85.3,192,93.8,89,31.7
King's College London (KCL),33,31,United Kingdom,L,FC,VH,5,A,98.9,17,96.3,27,71.5,189,43.9,288,97.7,107,93,96,82.1
"KIT, Karlsruher Institut fur Technologie",124,116,Germany,L,CO,VH,4,A,23.7,355,21.9,427,82.7,130,17.8,591,27.2,480,23.3,492,34.4
Kobe University,395,352,Japan,L,FC,VH,4,A,14.3,501,20.2,454,19.5,601,38,346,98.3,93,91.2,103,28.8
Koç University,451,448,Turkey,M,CO,VH,3,B,11.7,501,11,501,41.2,373,27.3,454,29.6,463,80.9,144,25.1
Korea University,83,86,South Korea,L,FC,VH,5,A,86.1,54,51.4,165,17.4,601,99.2,11,55.8,313,40.5,342,67.9
"KTH, Royal Institute of Technology",98,104,Sweden,L,CO,VH,5,A,70.1,85,43.9,209,100,23,25.5,479,92.6,148,29.4,435,63.8
Kyoto University,33,35,Japan,L,FC,VH,5,B,85.9,55,80.2,78,100,22,62.8,128,76.1,231,49,295,81.5
Kyung Hee University,247,264,South Korea,L,FC,VH,4,A,22.8,365,17.7,501,80.8,141,18.3,584,5.8,601,18.8,543,32
Kyushu University,132,126,Japan,L,FC,VH,5,A,63.8,102,68.9,100,30.9,490,55.6,179,97.1,115,61.1,231,57.8
L.N. Gumilyov Eurasian National University,418,394,Kazakhstan,L,FO,HI,2,B,8.9,501,39,244,79.8,146,1,601,16.9,587,2.2,601,24.7
La Trobe University,400,397,Australia,L,CO,VH,4,A,9,501,14.6,501,88.3,90,4.8,601,13.4,601,85,127,28.7
Lancaster University,128,131,United Kingdom,L,FC,VH,4,A,14.9,501,27.8,336,97.9,46,11.4,601,32.7,440,39.3,349,34.3
Lappeenranta University of Technology,491,521-530,Finland,S,,,,A,14.5,501,10.5,501,43.8,346,33.5,399,27.9,476,9.1,601,24.2
Laval University,416,402,Canada,L,FC,VH,5,A,33.8,253,58.6,133,11,601,38,347,71.3,246,95.5,79,37.6
Leiden University,118,122,Netherlands,XL,FC,VH,5,B,63.1,103,57.5,138,53.8,276,62.1,132,33.8,435,88.6,115,60.5
Lincoln University,356,317,New Zealand,S,CO,VH,5,A,38.8,213,43.8,210,13,601,45.9,270,100,54,64.6,213,40
Linkoping University,324,302,Sweden,L,CO,VH,4,A,53.8,142,19.6,466,21.3,601,11.5,601,7,601,2,601,30.6
Lomonosov Moscow State University,84,90,Russia,XL,FC,VH,5,A,68.2,91,72,92,90.7,78,41.5,317,62.8,280,57.2,251,67.1
London School of Economics and Political Science (LSE),44,38,United Kingdom,M,SP,VH,5,A,99.2,15,98.1,21,24.1,587,75,73,97.6,109,100,23,79.5
Loughborough University,222,218,United Kingdom,L,FO,VH,4,A,14.4,501,5.3,501,22.8,601,60,143,96.1,121,96.9,64,32.6
Ludwig-Maximilians-Universitat Munchen,63,62,Germany,XL,FC,VH,5,A,97,28,89,52,46,321,42.2,308,90.8,164,79.3,147,74.1
Lund University,92,92,Sweden,L,FC,VH,5,A,89,43,58.1,135,13.5,601,86.3,42,19.3,556,67.2,198,65.9
M.O.Auezov South Kazakhstan State University,491,480,Kazakhstan,L,CO,MD,4,A,20.5,404,7.9,501,20.3,601,26.5,464,86.6,183,95.7,77,27.6
Maastricht University,239,211,Netherlands,L,CO,VH,3,A,27.6,306,61.2,123,23.9,590,12.7,601,3.7,601,34.8,389,26.5
Macquarie University,237,250,Australia,L,FC,VH,4,A,28.8,296,11.4,501,70.8,191,11,601,15.1,601,49,296,32.3
Mahidol University,314,380,Thailand,L,FC,VH,4,A,16.9,487,8.1,501,61.9,235,45,279,25.3,497,12.1,601,30.9
Massachusetts Institute of Technology (MIT),1,1,United States,M,CO,VH,5,B,100,5,100,4,100,15,99.8,7,100,43,94.1,87,100
Massey University,287,332,New Zealand,M,CO,VH,4,B,17.7,471,44.3,206,95.3,59,1.1,601,2.9,601,13.2,601,31.7
McGill University,35,33,Canada,L,FC,VH,5,A,85,57,71.3,94,59.5,242,89.5,33,100,16,87.5,120,80.6
McMaster University,140,146,Canada,L,FC,VH,5,A,88.3,47,73.3,90,25.2,577,35.2,384,8.9,601,3.7,601,55.5
Michigan State University,144,141,United States,XL,FC,VH,5,A,67.6,93,30.5,317,29.7,510,64.1,124,81,214,47,303,55.4
Monash University,58,59,Australia,XL,FC,VH,4,A,49.9,157,36.8,259,23.7,594,19,567,15.8,601,33.5,403,34.8
Moscow Institute of Physics and Technology State University,302,312,Russia,M,FO,VH,4,A,40.3,202,47.1,188,38.7,401,6.8,601,9.2,601,12,601,31.1
Moscow State Institute of International Relations MGIMO University,366,355,Russia,M,SP,MD,4,A,16.2,501,21.2,435,45,333,44.7,281,43.1,370,9.2,601,29.3
Nagoya University,115,111,Japan,L,FC,VH,5,A,60.3,120,73.2,91,52.4,290,49.7,234,92.1,152,82.1,137,60.8
Nanjing University,120,122,China,XL,FC,VH,5,A,63.8,101,67.3,105,66.7,209,41.3,318,81.1,213,27.6,456,59.5
Nankai University,368,338,China,L,FC,VH,5,A,34.1,246,39,243,30.6,497,43.2,297,84.5,194,61.2,227,39.7
Nanyang Technological University (NTU),11,12,Singapore,L,FC,VH,3,A,12.9,501,14.8,501,93,70,1.4,601,32.3,442,6.1,601,27.5
National Central University,427,415,Taiwan,M,CO,VH,4,A,8.7,501,8.7,501,100,7,15.9,601,5,601,12.3,601,28.5
National Cheng Kung University,225,234,Taiwan,L,FC,VH,4,A,9.8,501,14.7,501,97.6,48,6.7,601,46.2,350,74.1,170,32.4
National Chiao Tung University,227,208,Taiwan,M,CO,VH,5,A,49.6,158,52.5,158,74.9,165,17.7,594,37.5,411,46,309,47.9
National Research Nuclear University (Moscow Engineering Physics Institute),329,329,Russia,M,FO,VH,4,A,11.6,501,14.6,501,15.4,601,56.6,167,99.3,73,97.7,57,30.5
National Research University - Higher School of Economics (HSE),322,343,Russia,XL,FO,VH,3,A,21.2,388,66.8,106,35.9,433,4.3,601,29.2,466,21.5,510,25.8
National Sun Yat-sen University,410,402,Taiwan,M,CO,VH,3,A,17.9,464,7.9,501,29.6,512,37.6,352,56.3,311,21,516,25.3
National Taiwan Normal University,331,308,Taiwan,M,CO,VH,4,A,20.9,395,9.6,501,35.3,443,39.7,328,42.9,376,79.1,148,30.5
National Taiwan University (NTU),69,72,Taiwan,XL,FC,VH,4,A,39.5,205,47.3,186,43.4,353,1.9,601,94.5,135,5,601,34.7
National Taiwan University of Science and Technology,251,257,Taiwan,M,FO,VH,3,A,20.9,396,7,501,35.1,445,47.9,249,5,601,8.1,601,26.4
National Technical University of Athens,454,446,Greece,L,FO,VH,5,A,30.1,280,44.2,208,6.4,601,47.6,254,97.1,114,77,156,36.1
