institution,rank_2020,rank_2019,country,size,focus,research_intensity,age,status,academic_ reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,overall_score
National Tsing Hua University,173,163,Taiwan,L,CO,VH,4,A,15.3,501,31.5,303,28.3,535,43,301,99.5,70,95.3,81,33.4
"National University of Ireland, Galway (NUIG)",259,260,Ireland,L,FC,HI,5,A,33.3,254,16.2,501,53.2,280,100,2,1.5,601,1.8,601,45.9
"National University of Science and Technology ""MISIS""",451,476,Russia,M,CO,VH,4,A,19.8,417,22,423,8.4,601,33.2,404,97.7,108,95.9,74,28.2
National University of Sciences and Technology (NUST) Islamabad,400,417,Pakistan,M,CO,VH,3,A,18.6,445,22.9,412,69.5,195,5.2,601,9.2,601,6.1,601,25.5
National University of Singapore (NUS),11,11,Singapore,XL,FC,VH,5,A,92.1,37,93.8,35,93.9,66,88.8,36,100,21,74.2,169,91.8
National Yang Ming University,287,292,Taiwan,S,FC,VH,3,A,19.6,424,25.9,365,14.7,601,12.8,601,99.5,68,100,21,26
New York University (NYU),39,43,United States,XL,FC,VH,5,A,92.2,36,93.8,33,63.3,225,58.4,154,93.7,144,96.2,71,80.4
Newcastle University,146,141,United Kingdom,L,FC,VH,4,A,58.3,127,48.2,177,5.5,601,3.6,601,21,538,61.2,228,34.2
North Carolina State University,285,279,United States,XL,CO,VH,5,A,47.5,164,47.6,178,28.3,537,44.4,284,71.3,245,40.9,340,44.1
Northeastern University,344,326,United States,L,CO,VH,5,A,30,283,63.3,116,34.4,453,40.4,324,82.8,204,72.1,177,41.2
Northwestern University,31,34,United States,L,FC,VH,5,A,96.9,29,81.3,72,37.5,417,87.4,40,100,41,99.8,30,82.1
Norwegian University of Science and Technology,359,363,Norway,XL,FC,VH,5,A,30,282,26.4,355,93.8,67,16.4,601,11.6,601,49.1,294,39.8
Novosibirsk State University,231,244,Russia,M,CO,VH,4,A,20.4,407,27.2,345,58.1,252,11.8,601,100,12,48.4,299,32.4
Ohio State University,101,89,United States,XL,FC,VH,5,B,70,86,85,59,83.1,126,35.4,381,15.2,601,44.7,317,63.4
Oregon State University,461,450,United States,L,CO,VH,5,B,22.2,378,23.8,392,62.7,230,49.2,240,7.6,601,39.4,347,36.1
Osaka University,71,67,Japan,L,FC,VH,4,A,26.1,321,47.5,180,26.4,562,28.2,449,94,138,75.4,161,34.7
Oxford Brookes University,376,363,United Kingdom,L,CO,HI,3,A,9.3,501,16.5,501,74.1,170,7.3,601,11,601,68.1,193,25.7
Pakistan Institute of Engineering and Applied Sciences (PIEAS),375,397,Pakistan,S,FO,VH,2,A,10.6,501,10.6,501,21.1,601,40.7,321,75.9,232,65.3,206,24.8
Peking University,22,30,China,XL,FC,VH,5,A,98.9,18,94.4,31,91,76,61.6,138,79.7,217,44.1,322,86
Pennsylvania State University,93,95,United States,XL,FC,VH,5,A,58.6,124,64.5,111,99.7,33,38.7,337,100,55,59.4,235,65.8
Peter the Great St.Petersburg Polytechnic University,439,404,Russia,L,FO,VH,5,A,41.9,189,20.1,458,37.6,414,41.9,313,21.7,529,17.5,563,36.8
Pohang University of Science and Technology (POSTECH),87,83,South Korea,S,FO,VH,3,A,26.9,314,27.8,337,28.2,538,22.4,516,26.7,488,43.8,325,27.3
Politecnico di Milano,149,156,Italy,XL,FO,VH,5,A,88.3,49,54,148,12.2,601,33.9,394,52.9,322,34.6,393,54.5
Politecnico di Torino,348,387,Italy,XL,FO,VH,5,A,42.8,184,46.9,189,10.1,601,45.9,269,98.9,82,52.6,276,40.7
Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires (UCA),344,369,Argentina,L,FC,LO,4,A,9.9,501,25.7,371,99.9,26,1.1,601,15.6,601,54.7,267,30.3
Pontificia Universidad Catolica de Chile,127,132,Chile,L,FC,VH,5,A,64.5,99,54.8,146,66.8,208,51.5,214,58.1,305,6.8,601,58.4
Pontificia Universidad Catolica del Peru,474,551-560,Peru,L,FO,HI,5,A,26,322,55,145,8.2,601,65.9,114,34.2,433,61.2,229,35.6
Pontificia Universidad Javeriana,468,521-530,Colombia,L,FC,MD,5,A,16.9,484,28.3,332,66.4,211,14.3,601,100,11,98.3,51,35.8
Princeton University,13,13,United States,M,CO,VH,5,A,99.8,11,99.2,14,88.3,89,75.7,71,100,23,76.4,158,91.8
Purdue University,111,100,United States,XL,FC,VH,5,A,69.6,87,54.3,147,50.1,303,51.9,206,89.3,174,70.1,183,61.8
Qatar University,276,332,Qatar,M,FC,VH,3,A,11.5,501,10.2,501,31.3,482,39.3,331,73.5,239,53.6,272,26.2
Queen Mary University of London (QMUL),126,119,United Kingdom,L,FC,VH,5,A,59.3,121,43.7,211,28.5,528,73.7,75,99,81,99.1,39,58.6
Queen's University,239,239,Canada,L,FC,VH,5,B,25,332,7.4,501,100,18,42.4,307,67.3,260,90.6,107,47.3
Queen's University of Belfast,173,180,United Kingdom,L,FC,VH,5,A,40.1,204,47.4,181,55.6,265,69.9,94,90.1,167,37.4,369,52.4
Queensland University of Technology (QUT),224,244,Australia,XL,CO,VH,3,B,22.9,363,21.1,439,37.5,416,23.6,498,43.6,369,19.5,537,26.7
Radboud University Nijmegen,217,204,Netherlands,L,FC,VH,4,A,19.7,422,24.9,379,40.3,383,51.5,210,65.9,264,17.8,555,33
Rensselaer Polytechnic Institute,383,345,United States,M,CO,VH,5,A,30.6,271,47.3,184,23.6,598,40.5,323,96.5,120,95.8,75,39.5
Rheinische Friedrich-Wilhelms-Universitat Bonn,243,255,Germany,XL,FC,VH,5,A,47.5,165,59.6,129,32.2,470,65.8,116,24.6,506,18,552,46.8
Rheinisch-Westfalische Technische Hochschule Aachen,138,144,Germany,XL,FC,VH,5,A,60.5,118,38.6,246,90.6,79,37.3,361,17.7,578,21.3,513,55.8
Rice University,85,87,United States,M,FC,VH,5,A,80.8,62,67.5,104,80.3,143,46.2,262,23.1,519,14.3,601,66.5
RMIT University,238,250,Australia,XL,CO,VH,3,A,19.2,433,9.9,501,74.8,166,12,601,4.8,601,6.1,601,26.7
Royal Holloway University of London,291,236,United Kingdom,M,CO,VH,5,B,51.4,149,77.2,84,62.2,233,9.4,601,13.2,601,11.3,601,44
RUDN University,392,446,Russia,L,FC,MD,4,B,10.1,501,8.5,501,30.2,505,66.1,111,38.2,409,51.9,280,28.8
Ruhr-Universitat Bochum,432,372,Germany,XL,FC,VH,4,A,24.6,340,27.4,342,58.3,251,15.4,601,10.2,601,9,601,28.4
Ruprecht-Karls-Universitat Heidelberg,66,64,Germany,L,FC,VH,5,A,67.7,92,86.5,58,78.6,150,63.9,125,95.4,130,62.9,220,72.4
"Rutgers - The State University of New Jersey, New Brunswick",262,283,United States,XL,CO,VH,5,A,28.5,298,36.8,260,71.3,190,38.6,339,99,80,60.6,234,45.2
Saint-Petersburg State University,234,235,Russia,L,FC,VH,5,A,46.3,171,25.7,372,89.4,83,17.8,592,59.7,297,32.1,412,47.3
Sapienza - Universita di Roma,203,217,Italy,XL,FC,VH,5,A,64.4,100,47.3,182,26.2,566,17.9,587,98.3,94,92.5,99,49
Sciences Po Paris,242,221,France,M,SP,VH,5,A,36.9,225,63,119,25.6,572,56,173,98.2,100,90.7,105,47
Scuola Normale Superiore di Pisa,204,175,Italy,S,FO,VH,,A,18.7,443,39.7,237,33.9,454,10.6,601,18.2,569,57.5,248,24.2
Scuola Superiore Sant'Anna Pisa,177,167,Italy,S,FC,VH,3,A,25.9,325,31,308,4.5,601,50.6,223,38.2,410,11.6,601,27.1
Seoul National University (SNU),37,36,South Korea,L,FC,VH,4,A,26.1,319,41.4,227,60,240,32.9,408,27.2,481,5.7,601,34.9
Shandong University,468,541-550,China,XL,FC,VH,5,A,39,211,12.3,501,31.2,485,48.6,245,23.6,514,31.4,416,35.7
Shanghai Jiao Tong University,60,59,China,XL,FC,VH,5,A,71.2,82,88.2,55,46.4,318,90,32,99.3,75,87.8,118,74.2
Shanghai University,412,422,China,XL,CO,VH,3,A,15.5,501,6,501,31.8,477,55.8,174,10.1,601,6.2,601,25.2
Sharif University of Technology,407,432,Iran,M,FO,VH,4,A,25.3,327,11.7,501,16.2,601,60.7,142,30.6,456,6.7,601,28.6
Simon Fraser University,314,264,Canada,L,CO,VH,4,A,6.5,501,5.8,501,97.8,47,18.2,585,24.5,507,62.1,223,30.8
Singapore Management University,477,500,Singapore,M,SP,HI,2,B,12.6,501,26.2,358,35.5,441,20.9,540,82.2,208,30.1,430,24.6
"SOAS - School of Oriental and African Studies, University of London",309,288,United Kingdom,S,SP,VH,5,B,20.8,397,28.9,327,76.8,162,71.5,87,5.8,601,35.1,387,43.1
Sogang University,454,435,South Korea,M,CO,VH,4,B,15.6,501,36.9,256,84.4,118,1.9,601,6.1,601,12.2,601,28.2
Sorbonne University,77,75,France,XL,FC,VH,1,A,15.5,501,12.6,501,5.2,601,38.7,336,95.5,129,68.7,190,24.5
South China University of Technology,480,541-550,China,XL,CO,VH,4,A,11.2,501,29.1,324,52,292,25.2,484,77.4,226,20.6,521,27.8
Stanford University,2,2,United States,L,FC,VH,5,B,100,4,100,5,100,12,98.6,13,99.8,62,67.7,196,98.4
Stellenbosch University,427,405,South Africa,L,FC,VH,5,A,38,217,51.3,166,21.7,601,46.5,259,50.7,332,10.7,601,37.2
Stockholm University,191,200,Sweden,L,CO,VH,5,A,52.9,144,45.7,197,38,409,62.7,129,81.7,210,17.6,560,51
Stony Brook University,359,349,United States,L,FC,VH,4,B,18.3,456,35.1,272,30.2,504,13.4,601,100,8,100,5,29.6
Sultan Qaboos University,379,450,Oman,M,FC,HI,3,B,10.4,501,7,501,82,134,9.1,601,14.4,601,35.1,385,25.6
Sun Yat-sen University,287,295,China,XL,FC,VH,4,A,17,482,5.9,501,87.2,96,22.1,522,39.3,402,5.9,601,31.6
Sungkyunkwan University,95,100,South Korea,L,FC,VH,5,A,57.3,130,91.2,44,35.9,435,77.9,63,97.2,113,87.2,122,64.2
Swansea University,462,435,United Kingdom,L,FC,HI,4,B,12.2,501,20.1,455,82.7,128,2.2,601,40.3,394,40.9,341,28
Swinburne University of Technology,383,387,Australia,L,CO,VH,3,B,18.6,448,34.1,282,51.9,293,13,601,11.8,601,21,517,25.6
Taipei Medical University,379,362,Taiwan,M,FO,VH,4,A,44.3,180,6.7,501,8.2,601,23.4,502,39.5,400,42.7,331,28.9
Tampere University,395,,Finland,L,,,1,B,13.4,501,17.3,501,79.1,148,1.3,601,18.1,570,3.7,601,24.3
Technical University of Denmark,112,112,Denmark,M,FO,VH,5,A,76.5,71,80.4,76,31.6,478,67.8,104,21.4,533,38.6,353,61.7
Technion - Israel Institute of Technology,257,247,Israel,L,FC,VH,5,A,46.8,168,63,118,23.3,601,80.6,52,3.3,601,1.5,601,46.2
Technische Universitat Berlin,147,147,Germany,L,CO,VH,5,A,52.6,146,22.3,417,77.7,155,49.2,239,87.2,182,30.5,425,54.7
Technische Universitat Darmstadt,260,253,Germany,L,FO,VH,5,A,46,173,42.6,221,31.2,484,42.4,306,97.6,110,64.4,214,45.6
Technische Universitat Dresden,179,191,Germany,XL,FC,VH,5,A,55.2,135,55.5,144,55.4,266,27.5,453,91.1,160,61.8,225,52
Technische Universitat Graz,311,363,Austria,M,FO,VH,,A,20.3,409,18.8,488,13.1,601,42.8,304,20.1,547,39.3,348,24.2
Technische Universitat Munchen,55,61,Germany,XL,CO,VH,5,A,92.2,35,51.8,161,60.3,239,78.4,61,60.8,287,70.3,182,76.6
Technische Universitat Wien,192,199,Austria,M,FO,VH,5,A,41,195,73.7,89,47.7,310,43.4,294,89.9,169,84.7,128,50.9
Tecnologico de Monterrey (ITESM),158,178,Mexico,L,FC,HI,4,A,22.6,368,11.8,501,47.5,312,20.3,551,100,45,100,17,33.9
Tel Aviv University,219,230,Israel,L,FC,VH,4,A,16.6,495,9.3,501,59,247,46.9,256,61.4,286,20,534,32.9
TELECOM ParisTech,224,,France,S,SP,HI,1,A,35.6,231,60.2,125,13.1,601,4.7,601,8.2,601,2.2,601,24.4
Texas A&M University,189,203,United States,XL,FC,VH,5,A,44.3,181,80.6,75,10.1,601,68.2,99,98.3,97,93.8,88,51.2
The American University in Cairo,395,420,Egypt,M,CO,HI,5,A,22.3,377,32.6,294,89.1,85,5.1,601,56,312,99.2,37,38.9
The Catholic University of Korea,462,456,South Korea,M,FC,VH,5,A,22.5,370,29.3,323,25.4,574,45.3,276,96.6,119,97,62,35.9
The Chinese University of Hong Kong (CUHK),46,49,Hong Kong,L,FC,VH,4,A,18.6,447,12.4,501,26.8,557,55,181,98,102,95.2,82,34.8
The Hong Kong Polytechnic University,91,106,Hong Kong,L,CO,VH,3,A,22.4,373,13,501,43.2,354,32.9,407,16.9,589,17,569,27.3
The Hong Kong University of Science and Technology (HKUST),32,37,Hong Kong,M,CO,VH,3,A,16.4,499,19.1,483,18.2,601,53.3,195,70.1,250,21.3,511,27.4
The University of Adelaide,106,114,Australia,L,FC,VH,5,A,62.4,107,59.8,127,20.8,601,88.3,39,100,30,98.7,44,62.9
The University of Auckland,83,85,New Zealand,L,FC,VH,5,A,89.8,41,82.4,68,41.9,365,59.7,144,20.8,540,30.4,427,67.3
The University of Georgia,474,431,United States,XL,FC,VH,5,A,19.1,436,19.1,481,23.7,595,61.8,136,100,53,73.4,173,35.4
The University of Manchester,27,29,United Kingdom,XL,FC,VH,5,A,97.3,27,82.6,67,87.2,97,44.5,283,100,22,99.1,38,83.8
The University of Melbourne,38,39,Australia,XL,FC,VH,5,A,98.7,20,92.5,41,96.3,56,53.2,196,15.4,601,17.5,564,80.5
The University of New South Wales (UNSW),43,45,Australia,XL,FC,VH,4,A,41.6,191,37.5,252,43.2,355,11.7,601,19.4,555,46.6,306,34.8
The University of Nottingham,96,82,United Kingdom,XL,FC,VH,5,A,61.3,114,58.7,132,61,237,61.4,139,87.9,179,94.1,86,64.2
The University of Queensland (UQ),47,48,Australia,XL,FC,VH,5,B,95.9,31,95.6,29,97.6,49,24,497,33.5,437,93.4,94,78.8
The University of Sheffield,78,75,United Kingdom,L,FC,VH,5,A,91.1,39,83.2,65,52.6,285,45.7,271,61.5,285,37.7,362,69.6
The University of Sydney,42,42,Australia,XL,FC,VH,5,A,96.9,30,91.1,45,88,92,61.6,137,19.2,557,11.9,601,79.6
The University of Tokyo,22,23,Japan,L,FC,VH,5,A,99.1,16,99.6,12,72.3,182,73,79,70.7,248,36.9,372,84.3
The University of Warwick,62,54,United Kingdom,L,FC,VH,4,A,21,394,10.1,501,21.1,601,58.6,152,90.8,165,96.2,70,34.8
The University of Western Australia (UWA),86,91,Australia,L,FC,VH,5,A,71.1,83,81.7,71,15.1,601,100,6,60.4,291,65.8,203,66.2
Tianjin University,429,443,China,XL,CO,VH,5,A,22.4,372,24.4,385,73.7,176,16.1,601,90.9,163,61.1,230,37.1
Tilburg University,371,319,Netherlands,M,FO,VH,4,A,15.9,501,9.2,501,15,601,69.8,95,65.4,267,27.5,457,29
Tohoku University,82,77,Japan,L,FC,VH,5,A,72.2,79,58.9,131,63.7,223,55,182,93.7,143,96.5,67,68.2
Tokyo Institute of Technology,58,58,Japan,M,CO,VH,5,B,75.2,73,77.5,83,43.5,352,94.3,24,83.6,201,99.9,25,74.8
Tokyo Medical and Dental University,359,352,Japan,S,FO,VH,4,A,15,501,24.1,388,12.4,601,62.5,132,84.2,196,38.7,352,29.6
Tomsk Polytechnic University,387,373,Russia,M,FO,VH,5,A,37.1,222,63.1,117,12.3,601,29.2,444,100,39,93.2,95,39.2
Tomsk State University,268,277,Russia,M,CO,VH,5,A,54.7,137,16.8,501,34.7,451,46.2,263,82.3,206,15.7,589,44.8
Tongji University,265,291,China,XL,FC,VH,5,A,60.9,116,59.7,128,13.5,601,50.6,222,20.3,545,12.7,601,45
Trinity College Dublin (TCD),108,104,Ireland,L,FC,VH,5,A,56.2,132,26.1,362,81.1,140,98.5,14,16.9,588,5.7,601,62.3
Tsinghua University,16,17,China,XL,FC,VH,5,B,95.8,32,93.7,38,100,20,67.6,105,84,199,63.6,216,88.9
Tufts University,253,237,United States,M,FC,VH,5,A,74.7,74,46.3,194,6,601,46.8,257,14,601,13.5,601,46.6
Tulane University,419,412,United States,M,FC,VH,5,A,61.5,112,89.7,50,11.1,601,5.3,601,8.3,601,1.3,601,37.5
UCL (University College London),8,10,United Kingdom,XL,FC,VH,5,A,99.3,14,98.7,18,98.1,43,76.7,68,99.1,79,100,16,94.8
UCSI University,442,481,Malaysia,M,CO,MD,3,A,19.2,431,5,501,17,601,65.6,117,4.5,601,4.1,601,25.2
Umea University,340,338,Sweden,L,FC,VH,4,A,16,501,10.7,501,5.9,601,72.2,84,92.4,150,51.1,284,30.4
United Arab Emirates University,329,350,United Arab Emirates,M,FC,HI,3,B,16.3,501,31.4,304,49.8,305,18.4,580,39.9,398,6.7,601,25.7
Universidad Austral,400,367,Argentina,S,CO,MD,3,A,10.3,501,5.4,501,12.6,601,83.7,48,14.9,601,13.3,601,25.4
Universidad Autonoma de Madrid,192,159,Spain,L,FC,VH,4,A,27.3,309,23.2,404,13.2,601,51.2,219,98.9,84,41.1,339,33.2
Universidad Carlos III de Madrid,298,253,Spain,L,FO,VH,3,B,4.1,501,8.4,501,47.3,313,20.3,552,98.6,88,99.1,41,26
Universidad Complutense de Madrid (UCM),212,206,Spain,XL,FC,VH,5,A,50.9,153,44.7,203,87.8,95,13.1,601,24,510,38.9,351,48.3
Universidad de Belgrano,438,384,Argentina,M,CO,LO,4,B,24.6,344,37.4,253,43.7,348,5.7,601,93.9,141,3.8,601,28.4
Universidad de Buenos Aires,74,73,Argentina,XL,FC,VH,5,A,74.5,75,82.7,66,86.2,101,61.3,140,30.7,454,31.3,417,70.9
Universidad de Chile,189,208,Chile,XL,FC,VH,5,A,61.9,111,65.8,109,18.6,601,54.4,186,63.8,277,36.2,377,51.1
Universidad de Los Andes Colombia,234,272,Colombia,L,FC,HI,4,B,22.4,371,16.5,501,82.7,129,13.3,601,10.5,601,36.9,371,32.3
Universidad de Montevideo,491,531-540,Uruguay,S,FC,LO,2,B,3.8,501,4.5,501,59.3,245,50.2,227,3.7,601,8.1,601,24.5
Universidad de Navarra,245,242,Spain,M,FC,VH,4,C,7.6,501,49.2,173,71.8,186,1.2,601,88.6,178,100,11,32.1
Universidad de Palermo,383,420,Argentina,M,FO,MD,3,A,16.9,485,12.4,501,16.6,601,57.3,163,44.8,361,9.9,601,25.6
Universidad de Santiago de Chile (USACH),489,511-520,Chile,L,FC,MD,5,A,32,261,19.7,465,30.3,503,47.8,252,60.7,288,29.1,438,35
Universidad de Zaragoza,432,412,Spain,L,FC,VH,5,A,39.4,207,32,300,49.3,307,23.3,504,27.1,482,36.6,375,36.8
Universidad Externado de Colombia,480,407,Colombia,L,CO,LO,5,A,28.3,301,16.8,501,69,198,15.9,601,91.5,157,11.3,601,35.2
Universidad Nacional Autonoma de Mexico (UNAM),103,113,Mexico,XL,FC,VH,5,A,84.2,59,62.8,120,25,579,44.8,281,94.4,137,91.8,100,63.4
Universidad Nacional de Colombia,253,275,Colombia,XL,FC,HI,5,A,35.8,230,69.7,99,84.6,117,21.3,536,38.5,407,37.5,365,46.4
Universidad Politecnica de Madrid,435,470,Spain,XL,SP,VH,3,A,12.9,501,12.9,501,33.8,455,25.9,474,73.9,236,61,232,25.2
Universidad Politecnica de Valencia,336,310,Spain,L,CO,VH,4,B,2.6,501,3.3,501,99.3,39,42.9,302,,,11.6,601,30.5
Universidade de Sao Paulo (USP),116,118,Brazil,XL,FC,VH,4,A,34.7,240,35.2,270,53.1,282,22.1,521,10.4,601,28.8,440,34.5
Universidade Estadual de Campinas (Unicamp),214,204,Brazil,L,FC,VH,4,A,17.5,476,32.5,295,44.7,339,43.5,292,69.8,252,30.8,422,33
"Universidade Estadual Paulista ""Julio de Mesquita Filho""",482,491,Brazil,XL,FC,VH,3,A,11.9,501,5.8,501,57.9,254,18.4,579,40.8,391,47.3,301,25.1
Universidade Federal de Sao Paulo (UNIFESP),439,464,Brazil,L,FC,VH,4,A,9.7,501,66.4,107,8.1,601,31.8,422,100,49,93.5,91,28.3
Universidade Federal do Rio de Janeiro,358,361,Brazil,XL,FC,VH,4,A,20.3,408,10.4,501,22.6,601,36.7,367,98.2,101,74.5,166,29.8
Universidade Nova de Lisboa,421,405,Portugal,L,FC,VH,3,A,15.3,501,36.2,266,5.4,601,28,450,84.4,195,89.6,111,25.2
Universita degli Studi di Firenze (UNIFI),448,501-510,Italy,XL,FC,VH,4,A,19.2,434,23.4,397,17.3,601,68.1,100,12.7,601,6.6,601,28.2
Universita degli Studi di Milano,302,325,Italy,XL,FC,VH,4,A,18,461,32.4,296,94.2,63,1.7,601,5.5,601,20.6,523,31
Universita degli Studi di Napoli Federico II,424,472,Italy,XL,FC,VH,5,A,28.4,299,34.7,276,24.6,584,69.5,96,64,275,3.8,601,37.2
Universita degli Studi di Padova (UNIPD),234,249,Italy,XL,FC,VH,5,A,53,143,24.4,386,38.6,402,50.6,221,64.9,271,48.3,300,47.3
Universita degli Studi di Trento,389,426,Italy,L,CO,VH,4,A,9.7,501,9.8,501,85.3,108,5.5,601,99.2,77,16.9,570,28.9
Universita di Bologna (UNIBO),177,180,Italy,XL,FC,VH,5,A,54.1,140,34.8,275,50.9,298,70,93,26.4,491,26.5,464,52.1
Universita di Pisa,389,422,Italy,XL,FC,VH,5,A,22.1,380,22.1,420,24.6,583,65.1,119,97.4,111,100,15,39
Universitas Gadjah Mada,320,391,Indonesia,XL,FC,MD,4,A,34.2,242,39.5,240,62,234,2.1,601,1.8,601,1.5,601,30.7
Universitat Autonoma de Barcelona,188,193,Spain,XL,FC,VH,4,A,22.3,376,19.3,478,3.4,601,95.3,20,27.1,485,25.4,478,33.3
Universitat de Barcelona (UB),165,166,Spain,XL,FC,VH,5,A,40.4,201,27,347,52.5,288,70.6,91,94.5,134,97.3,60,53.2
Universitat des Saarlandes,468,461,Germany,L,FC,HI,4,A,21.8,382,11.1,501,54.7,273,20.9,543,34.5,429,22.8,496,27.9
Universitat Erlangen-Nurnberg,319,299,Germany,XL,FC,VH,5,A,31,269,34.3,278,21.6,601,66.9,108,93.4,145,86.4,123,42.7
Universitat Frankfurt am Main,291,279,Germany,XL,FC,VH,5,A,26.8,315,20.1,457,85.2,111,40.1,327,100,20,21.8,506,44
Universitat Freiburg,169,186,Germany,L,FC,VH,5,A,56.3,131,47.1,187,84.4,119,34.2,391,20,548,15,592,52.9
Universitat Hamburg,227,223,Germany,XL,FC,VH,5,B,19.9,415,17.1,501,92,74,65.8,116,53.7,317,73.9,171,47.8
Universitat Innsbruck,266,279,Austria,L,FC,HI,5,A,71.6,81,90.8,47,16.3,601,14.5,601,10.1,601,8.4,601,45
Universitat Jena,340,326,Germany,L,FC,VH,5,A,45.3,175,16.7,501,16.9,601,64.4,122,37.4,413,65.6,204,41.3
Universitat Koln,308,306,Germany,XL,FC,VH,5,A,34,249,60.7,124,98.6,41,1.2,601,40.8,390,26.1,471,43.1
Universitat Konstanz,424,397,Germany,M,CO,VH,4,A,10.7,501,19.1,484,83.5,124,1.5,601,10.7,601,93.7,90,28.5
Universitat Mannheim,314,338,Germany,M,FO,VH,5,A,64.6,98,71.6,93,26.6,559,14.5,601,3.6,601,24.1,487,42.7
Universitat Politecnica de Catalunya,300,275,Spain,L,CO,VH,3,A,18.2,458,20.8,445,46,323,26.7,461,30.9,451,8.5,601,26
Universitat Pompeu Fabra,285,298,Spain,M,CO,VH,3,A,10.9,501,41.9,226,13.2,601,35.7,379,97.3,112,54.4,270,26
Universitat Stuttgart,279,260,Germany,L,CO,VH,5,A,57.4,129,64,113,45.8,327,24,496,9.9,601,14.1,601,44.7
