institution,rank_2020,rank_2019,country,size,focus,research_intensity,age,status,academic_ reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,overall_score
Universitat Ulm,340,332,Germany,M,CO,VH,4,A,17.7,470,14.6,501,94,65,2.1,601,15.7,601,34.7,392,30.4
Universitat Wien,154,175,Austria,XL,FC,VH,5,A,46.3,172,88.9,54,29.5,514,72.6,83,60,294,64.3,215,54.2
Universite Aix-Marseille,491,453,France,XL,FC,VH,1,A,11,501,10.2,501,11.6,601,67.1,107,39.3,401,22.5,501,24.3
Universite Catholique de Louvain (UCL),167,165,Belgium,L,FC,VH,3,A,23,361,19.5,469,32.8,462,36.3,374,20.7,541,20.3,528,27.1
Universite de Bordeaux,458,489,France,XL,FO,VH,1,A,33.9,250,4.9,501,13.5,601,25,485,23.6,516,26.6,463,24.3
Universite de Montpellier,498,422,France,XL,CO,VH,1,A,10.8,501,11.4,501,72.2,183,1.8,601,1.3,601,78.4,150,24.3
Universite de Montreal,137,149,Canada,XL,FC,VH,5,A,50.6,156,24.5,383,67.9,202,51.8,208,90.9,162,94.6,84,56.1
Universite de Strasbourg,379,348,France,XL,FC,HI,2,A,12.1,501,3.9,501,21.2,601,71.3,88,13.5,601,4.3,601,24.7
Universite Grenoble-Alpes (UGA),351,289,France,XL,FC,VH,1,A,7,501,6.1,501,94.1,64,1,601,17.1,584,17.7,557,24.3
Universite Libre de Bruxelles (ULB),251,239,Belgium,L,FC,VH,5,,14.6,501,8,501,86.2,100,99.3,10,2.1,601,52.5,277,46.6
Universite Paris 1 Pantheon-Sorbonne,305,299,France,XL,FO,HI,5,,22.4,374,7.3,501,100,16,57.7,158,19.7,551,21.1,515,43.4
Universite Paris-Sud 11,262,239,France,L,CO,VH,5,A,21.1,391,35.1,271,39.8,387,81.2,51,94.4,136,83,132,45.2
Universite PSL (Paris Sciences & Lettres),53,50,France,L,,,1,A,16.6,494,12.6,501,53.1,281,25.2,482,13.9,601,3,601,24.5
Universiti Brunei Darussalam (UBD),298,323,Brunei,S,CO,VH,3,A,14.6,501,4.9,501,79.8,145,14.7,601,8.5,601,6.1,601,26
Universiti Kebangsaan Malaysia (UKM),160,184,Malaysia,L,FC,VH,3,A,24.2,347,8.5,501,37.6,415,24.2,491,56.7,310,27.5,458,27.2
Universiti Malaya (UM),70,87,Malaysia,L,FC,VH,5,B,61.9,110,58.2,134,81.1,139,86.6,41,86,189,56,261,71.5
Universiti Putra Malaysia (UPM),159,202,Malaysia,L,FC,VH,3,A,31.6,263,15.4,501,6,601,57.4,161,3.1,601,1.1,601,27.2
Universiti Sains Malaysia (USM),165,207,Malaysia,L,FC,VH,4,A,15.1,501,8.6,501,91.4,75,25.9,473,29.1,470,31.8,414,33.5
Universiti Teknologi Brunei,379,442,Brunei,S,FO,HI,3,A,18.7,444,45,202,9,601,56.3,170,1.6,601,7.3,601,25.6
Universiti Teknologi Malaysia (UTM),217,228,Malaysia,L,CO,VH,3,A,17.9,467,3.5,501,21.5,601,71.6,86,9,601,6.2,601,27
Universiti Teknologi Petronas (Petronas),482,521-530,Malaysia,M,SP,VH,2,A,9.9,501,6,501,28,539,42.1,309,59.8,295,57.3,250,24.5
University at Buffalo SUNY,340,313,United States,L,FC,VH,5,A,41.7,190,16.8,501,49.1,308,47.7,253,47.3,345,21.7,507,41.3
University College Cork (UCC),310,338,Ireland,L,FC,VH,5,A,34.1,244,31,309,32.8,461,57.4,162,100,60,63.4,217,43.1
University College Dublin (UCD),185,193,Ireland,L,FC,VH,5,A,44.6,179,21.9,426,96.2,57,49,242,15.3,601,23.6,491,51.2
University of Aberdeen,194,172,United Kingdom,L,FC,VH,5,A,53.9,141,77.7,81,47.6,311,30.2,434,42,382,69.3,187,50.6
University of Alberta,113,109,Canada,XL,FC,VH,5,A,69.2,89,81.2,73,45.5,328,41.6,316,84.1,197,81.8,139,61.7
University of Amsterdam,64,57,Netherlands,L,FC,VH,5,A,59,122,41.3,230,89.7,81,89.4,34,100,14,95.3,80,73.6
University of Antwerp,223,223,Belgium,L,FC,VH,3,A,18.5,450,25.5,374,25.3,575,33.5,396,45.9,352,57.8,246,27
University of Arizona,262,246,United States,XL,FC,VH,5,A,61.1,115,38.4,248,14.1,601,54.7,183,30.7,455,26.6,460,45.1
University of Basel,151,160,Switzerland,M,FC,VH,5,A,60.7,117,30.3,318,31,487,84.2,47,68.6,258,11.1,601,54.5
University of Bath,172,158,United Kingdom,L,CO,VH,4,A,40.7,198,24.5,384,30.5,499,25.4,480,45.3,356,24.6,482,33.5
University of Bergen,163,171,Norway,M,FC,VH,4,A,28.8,295,30,319,36.1,431,24.1,493,93,146,46.8,304,33.7
University of Bern,123,139,Switzerland,M,CO,VH,5,A,90.9,40,91,46,57.6,256,3.8,601,13.8,601,4.3,601,58.8
University of Birmingham,81,79,United Kingdom,L,FC,VH,5,A,94.2,34,83.3,64,12.1,601,93.4,27,6.9,601,18.6,548,68.6
University of Bristol,49,51,United Kingdom,L,FC,VH,5,A,85,58,74.5,88,73.9,175,98.1,16,25.8,494,10.1,601,77.9
University of British Columbia,51,47,Canada,XL,FC,VH,5,A,91.2,38,95.7,28,19.8,601,84.5,46,100,48,98.5,48,77.1
University of Calgary,233,229,Canada,XL,FC,VH,4,A,39.3,209,39.8,236,51.3,296,3.7,601,29.2,465,1.6,601,32.3
"University of California, Berkeley (UCB)",28,27,United States,XL,FC,VH,5,A,94.9,33,97.7,22,74.1,172,51.5,211,92.6,149,98.6,46,82.7
"University of California, Davis (UCD)",104,100,United States,XL,FC,VH,5,A,73.6,77,84.9,60,99.7,34,7.2,601,18,571,56.1,260,63.2
"University of California, Irvine (UCI)",219,169,United States,XL,FC,VH,4,A,29.5,288,36.9,257,29.9,509,37.4,355,43.8,367,29.3,436,32.7
"University of California, Los Angeles (UCLA)",35,32,United States,XL,FC,VH,5,A,88.5,46,80.4,77,82.3,132,52,205,98.5,89,99.8,29,80.5
"University of California, Riverside (UCR)",454,384,United States,L,FC,VH,4,A,24.9,335,36.9,258,11.7,601,37.4,357,83.5,202,10,601,28.2
"University of California, San Diego (UCSD)",45,41,United States,XL,FC,VH,4,A,29.9,284,32.4,297,14.1,601,82.3,49,1.9,601,1.3,601,34.8
"University of California, Santa Barbara (UCSB)",135,132,United States,L,CO,VH,5,A,30.5,274,27.1,346,99.9,24,65.9,115,99.5,67,83,131,57.4
"University of California, Santa Cruz (UCSC)",367,336,United States,L,CO,VH,4,A,5.4,501,4.6,501,96.4,55,36.2,375,,,,,29.2
University of Cambridge,7,6,United Kingdom,L,FC,VH,5,A,100,2,100,2,100,10,74.2,74,100,58,97.6,58,95
University of Canberra,484,601-650,Australia,M,CO,VH,3,A,6,501,2.4,501,99.9,25,10,601,4.6,601,2.6,601,25.1
University of Canterbury,227,231,New Zealand,L,CO,VH,5,B,51.3,150,45.5,199,10.4,601,68.4,98,89,176,44.7,318,47.7
University of Cape Town,198,200,South Africa,L,FC,VH,5,B,46.8,169,68.4,103,77.2,161,30.8,431,25.4,496,34.8,390,50.3
"University of Chemistry and Technology, Prague",355,,Czech Republic,S,FO,VH,5,A,47.7,163,15.5,501,41,374,38.4,340,45.3,355,22.6,497,40
University of Chicago,10,9,United States,L,FC,VH,5,B,99.5,13,93.7,37,96.5,54,78.5,60,70.2,249,81,143,92
University of Coimbra,406,407,Portugal,L,FC,VH,5,A,62.4,108,56.5,141,25.6,573,8.5,601,11.5,601,2.5,601,38.3
University of Colorado at Boulder,206,190,United States,XL,CO,VH,5,A,66.2,95,26.1,360,31.9,476,58.2,156,6.9,601,18.8,545,48.6
University of Colorado at Denver,392,397,United States,L,FC,VH,5,A,24.6,342,18.5,493,44.5,342,48.5,246,83.1,203,89.1,112,39
University of Connecticut,377,373,United States,L,FC,VH,5,B,54.4,139,87.9,56,27.6,543,8.1,601,32.1,445,3.1,601,39.6
University of Copenhagen,81,79,Denmark,XL,FC,VH,5,A,80,65,50.6,168,96.7,51,34.8,385,52.8,323,44.2,319,68.4
University of Delaware,491,439,United States,L,CO,VH,5,A,31.6,262,30.9,310,17.3,601,55.6,178,66.3,263,25.8,473,35
University of Delhi,474,487,India,L,FC,HI,4,A,24.7,339,19.4,473,36.5,428,37.6,353,15.6,601,8.6,601,27.9
University of Dundee,302,272,United Kingdom,L,FC,HI,4,A,44.7,178,9.3,501,13.4,601,33.2,401,25.1,499,30.8,421,31
University of East Anglia (UEA),314,269,United Kingdom,L,FC,HI,4,A,8.7,501,10,501,44,344,37.9,349,95.9,124,98.8,43,30.7
University of Eastern Finland,498,481,Finland,M,CO,VH,3,A,24.5,345,26.3,357,16.1,601,36.6,370,32.1,443,6.6,601,25
University of Edinburgh,20,18,United Kingdom,XL,FC,VH,5,A,75.6,72,77.6,82,96.6,52,98.9,12,100,13,100,13,87.4
University of Essex,370,355,United Kingdom,L,CO,HI,4,A,15,501,11.8,501,9.6,601,56.1,172,94,140,77.9,154,29
University of Exeter,163,154,United Kingdom,L,FC,VH,4,,12.8,501,11.2,501,88.4,88,17.4,600,67.1,261,54.5,268,33.6
University of Florida,167,180,United States,XL,FC,VH,5,A,80.2,64,49,174,5.4,601,46,268,62.8,279,49.4,292,53
University of Geneva,110,108,Switzerland,L,FC,VH,5,A,61.3,113,43.7,213,74.1,173,46.3,261,100,50,74.8,165,61.9
University of Ghent,130,138,Belgium,XL,FC,VH,5,B,43.8,182,18.8,489,99.8,32,59.2,147,78.9,223,59.3,236,58.3
University of Glasgow,67,69,United Kingdom,L,FC,VH,5,A,80.2,63,99,17,89.1,86,26.9,458,60.6,290,76.8,157,72.3
University of Gothenburg,256,269,Sweden,L,FC,VH,5,A,42.2,185,32.9,292,50.5,299,34.4,389,86.5,184,93.4,93,46.3
University of Groningen,114,120,Netherlands,L,FC,VH,5,B,58.4,126,74.6,87,85.7,104,49.3,236,21.3,535,38.1,358,61
University of Hawaii at Manoa,326,302,United States,L,FC,VH,5,A,67.5,94,34.5,277,21.1,601,32.7,409,9.9,601,4.3,601,42.1
University of Helsinki,107,110,Finland,L,CO,VH,5,B,41.3,194,40.8,233,99.9,27,99.3,9,35.3,423,3.6,601,62.6
University of Hong Kong (HKU),25,25,Hong Kong,L,FC,VH,5,B,89,44,84.2,62,99.4,38,80.3,55,12.4,601,59.3,237,83.8
University of Illinois at Urbana-Champaign,75,71,United States,XL,FC,VH,5,A,43.8,183,99.3,13,99.6,36,66.3,109,95.2,131,97.9,54,70.5
"University of Illinois, Chicago (UIC)",231,214,United States,L,FC,VH,5,A,50.9,154,48.3,176,74,174,29.6,440,18.7,563,13,601,47.7
University of Indonesia,296,292,Indonesia,XL,FC,HI,5,B,58.6,123,86.9,57,32.2,470,7.9,601,31.6,448,35.8,379,43.7
University of Iowa,421,435,United States,L,FC,VH,5,A,37.7,220,12.2,501,57.1,259,32,417,43.7,368,17.6,562,37.3
University of Jyvaskyla,346,336,Finland,M,CO,VH,4,A,19.8,419,7.9,501,11.9,601,79.2,58,44.8,362,18.7,546,30.2
University of Kansas,372,367,United States,L,FC,VH,5,A,38.6,215,31.3,305,87.9,93,6,601,6.9,601,35.8,380,39.6
University of Kent,368,355,United Kingdom,L,CO,VH,4,A,26.7,316,57.8,136,15.5,601,13.9,601,61.7,283,72.1,176,29.1
University of Lausanne,153,149,Switzerland,L,CO,VH,5,A,62.8,105,32.3,299,42.5,361,66,113,56.7,309,28.1,452,54.5
University of Leeds,93,93,United Kingdom,XL,FC,VH,5,A,89.2,42,45.9,196,59.7,241,36.2,377,47.8,344,56.5,257,64.9
University of Leicester,239,223,United Kingdom,L,FC,VH,4,A,24.1,348,9.7,501,84.1,122,15.4,601,13.8,601,17.1,567,32.2
University of Liege,429,391,Belgium,L,FC,VH,5,A,20,414,71.1,96,6.5,601,72.9,81,51.9,325,65,207,37
University of Lisbon,338,355,Portugal,XL,FC,VH,1,A,6.6,501,17.2,501,23.6,599,56.3,169,49.4,339,28.6,444,24.3
University of Liverpool,181,164,United Kingdom,L,FC,VH,5,A,55.3,134,97.2,24,13,601,59,149,42.4,381,68.2,191,51.9
University of Macau,387,443,Macau,M,FO,VH,3,A,32.7,257,5.7,501,28.9,518,6.5,601,51.4,328,41.6,336,25.5
"University of Maryland, Baltimore County",460,453,United States,M,FC,VH,4,A,28.4,300,23.4,398,18.5,601,35.6,380,62,281,10.6,601,28.2
"University of Maryland, College Park",136,126,United States,XL,FC,VH,5,A,58,128,41.4,228,57,260,48.8,244,91.6,156,80.8,145,57.3
"University of Massachusetts, Amherst",305,259,United States,L,CO,VH,5,A,33.2,255,34.9,274,32.7,463,53.4,193,94,139,88.9,114,43.3
University of Miami,271,242,United States,L,FC,VH,4,A,18.5,452,8.7,501,81.4,137,25.2,483,29.6,461,13.2,601,31.8
University of Michigan,21,20,United States,XL,FC,VH,5,A,97.5,24,93.7,36,85.6,105,53,198,98,103,98.6,47,86.2
University of Minnesota,156,156,United States,XL,FC,VH,5,A,37.4,221,22,424,95.6,58,57.7,159,38.6,406,82.1,138,54
University of Newcastle,207,214,Australia,L,FC,VH,4,A,22.6,367,33,291,94.8,62,2.1,601,9.6,601,16.7,573,33.1
"University of North Carolina, Chapel Hill",90,83,United States,XL,FC,VH,5,A,87.2,53,91.3,43,77.4,156,2.4,601,50.7,333,64.7,211,66
University of Notre Dame,210,212,United States,L,CO,VH,5,A,44.8,177,44.4,204,73.2,178,20.9,541,58.8,300,82.3,135,48.4
University of Oslo,119,135,Norway,L,FC,VH,5,A,47.5,166,68.4,102,63,229,72.8,82,96.9,116,48.7,297,60.5
University of Otago,176,175,New Zealand,L,FC,VH,5,A,62.5,106,20.1,456,14.8,601,86.2,43,69.1,255,29.6,432,52.3
University of Ottawa,281,289,Canada,XL,FC,VH,5,A,25.9,323,24.7,382,90,80,29.7,436,85.9,191,65,208,44.5
University of Oulu,374,376,Finland,M,FC,VH,4,B,9.6,501,12.3,501,87,98,21.6,533,22.1,521,18.8,544,28.9
University of Oxford,4,5,United Kingdom,L,FC,VH,5,A,100,3,100,3,100,8,84.7,45,99.7,64,98.5,50,97.2
University of Paris,253,,France,XL,,,1,A,11.7,501,15.2,501,18.7,601,71.2,89,,,1.5,601,24.3
University of Pennsylvania,15,19,United States,L,FC,VH,5,B,98.7,19,90.4,49,65.7,215,95.1,21,93.8,142,72.3,174,89.3
University of Pittsburgh,140,136,United States,L,FC,VH,5,A,65.8,96,32.6,293,46.2,319,56.9,165,65.5,265,37.1,370,55.5
University of Porto,353,328,Portugal,L,FC,VH,5,B,34.2,243,42.8,218,67.6,205,26.7,462,16.6,593,47.3,302,40.1
University of Reading,205,195,United Kingdom,L,CO,VH,5,B,26.9,312,11.8,501,99.7,35,59.1,148,49.4,338,45.2,311,48.6
University of Rochester,170,184,United States,M,FC,VH,5,A,55.5,133,49.2,172,85.6,106,32.6,411,18.6,565,21.5,509,52.9
University of Saskatchewan,439,461,Canada,L,FC,VH,5,A,32.2,260,9.6,501,26.2,568,58.4,153,89.1,175,27.9,453,36.7
University of Science and Technology Beijing,462,500,China,L,CO,VH,4,A,11.8,501,23.7,394,14.2,601,88.3,38,5.2,601,2,601,28
University of Science and Technology of China,89,98,China,L,CO,VH,4,A,30.5,275,51.5,163,60.7,238,9.7,601,36.5,418,25.2,481,34.6
University of South Australia (UniSA),274,264,Australia,L,CO,VH,3,A,11.7,501,5.1,501,93,71,10,601,5.5,601,1.8,601,26.2
University of Southampton,97,96,United Kingdom,L,FC,VH,5,A,79.1,67,64.3,112,11.8,601,85.3,44,90,168,37.5,366,64.1
University of Southern California,129,115,United States,XL,FC,VH,5,A,62,109,51.2,167,35.8,438,56.8,166,99.5,69,93.5,92,58.3
University of Southern Denmark,372,376,Denmark,L,FO,VH,4,A,12.1,501,14.8,501,74.5,167,11.2,601,100,51,7.6,601,28.9
University of St Andrews,100,97,United Kingdom,M,FC,VH,5,A,69.5,88,59.1,130,98.2,42,43.1,299,12.7,601,17.6,558,63.7
University of St Gallen (HSG),398,375,Switzerland,M,SP,VH,5,A,49.6,159,16.7,501,46.6,317,22.3,517,40.9,388,26.4,467,38.8
University of Stirling,478,417,United Kingdom,M,CO,VH,4,B,14.1,501,21.1,436,77.3,157,11,601,16.5,595,29.6,433,27.8
University of Strathclyde,296,268,United Kingdom,L,CO,VH,4,A,15.5,501,19.5,468,11.2,601,54.2,187,95.7,126,98.7,45,31.1
University of Surrey,274,248,United Kingdom,L,CO,VH,4,A,18.8,442,3.7,501,98,45,14,601,,,28.6,443,31.8
University of Sussex,246,227,United Kingdom,L,FC,HI,4,B,27.6,305,26.1,361,36.9,424,31.9,421,37.5,412,53,275,32
University of Tartu,301,321,Estonia,M,FC,VH,5,A,72.9,78,33.3,287,5.7,601,43.8,290,10.1,601,8.5,601,43.5
University of Tasmania,291,287,Australia,L,CO,VH,5,B,28.2,302,25.4,376,100,6,36,378,23.7,513,32.8,406,44
University of Technology Sydney (UTS),140,160,Australia,L,CO,VH,3,A,14.3,501,8.8,501,8.6,601,48.9,243,91.4,158,88.1,117,27.2
University of Tennessee,407,419,United States,L,FC,VH,5,B,27.1,310,32.4,298,87.8,94,18.4,578,15.2,601,41.1,338,38.3
University of Texas at Austin,65,63,United States,XL,FC,VH,5,,77.7,69,98.6,20,100,21,26.2,470,67.1,262,72.1,175,73.4
University of the Philippines,356,384,Philippines,XL,FC,MD,5,A,32.4,259,47.3,185,19.5,601,52.7,201,100,26,51.8,281,39.9
University of The Witwatersrand,400,381,South Africa,L,FC,VH,5,B,31,267,75.1,86,44.1,343,25.8,477,21.6,530,68.1,192,38.5
University of Toronto,29,28,Canada,XL,FC,VH,5,A,100,6,99.9,8,30.9,489,97.7,17,92.4,151,39.7,346,82.6
University of Tromso,389,369,Norway,L,FC,HI,4,A,13.7,501,19.6,467,11.7,601,93.8,25,,,3,601,28.8
University of Tsukuba,270,260,Japan,L,FC,VH,3,B,7.7,501,19,486,89.2,84,1.1,601,6.9,601,55.8,262,26.3
University of Turku,287,285,Finland,L,FC,VH,4,A,34.8,239,31.2,306,42.2,364,20,556,25.8,493,9.4,601,31.3
University of Twente,186,172,Netherlands,M,FO,VH,4,A,19.2,432,8.8,501,37.8,411,47.9,251,81.2,212,71.1,179,33.4
University of Utah,353,345,United States,L,FC,VH,5,A,28.9,293,52.1,160,45.8,325,54.6,185,29.1,471,31.5,415,40
University of Victoria,364,359,Canada,L,CO,VH,4,A,15.3,501,15.6,501,82.5,131,18.5,576,14.7,601,14.1,601,29.4
University of Virginia,198,192,United States,L,FC,VH,5,A,30.4,277,25,378,37.8,410,91.3,28,100,24,86.4,124,50
University of Waikato,266,274,New Zealand,M,CO,VH,4,A,33.8,252,39.5,239,59.3,244,6.5,601,4.8,601,17.6,561,31.9
University of Warsaw,349,394,Poland,XL,CO,VH,5,A,40.8,196,53.4,152,42.5,360,39.7,329,17.7,579,26.4,466,40.4
University of Washington,68,66,United States,XL,FC,VH,5,A,87.8,52,49.7,169,85.5,107,50,228,57.2,308,30.9,420,71.8
University of Waterloo,173,163,Canada,XL,CO,VH,4,A,38.9,212,33.2,289,61.4,236,6.7,601,8.9,601,5.9,601,33.4
University of Wisconsin-Madison,56,53,United States,XL,FC,VH,5,A,87.9,51,61.5,121,67.7,204,56.2,171,100,52,91.7,101,75.9
University of Wollongong,212,218,Australia,L,FC,VH,3,A,16.8,488,25.9,364,39.1,398,16.2,601,79.6,218,51,285,27
University of York,148,134,United Kingdom,L,FC,VH,4,A,42.1,186,16.6,501,18.1,601,51.3,216,16.2,597,18,553,34.2
University of Zurich,76,78,Switzerland,L,FC,VH,5,A,79.6,66,93.6,39,53.7,277,65.5,118,84.1,198,20.1,531,70.5
Uppsala University,116,117,Sweden,L,FC,VH,5,A,50.8,155,52.5,157,59,248,68.1,101,96.1,122,92.8,97,60.6
Ural Federal University,364,412,Russia,L,CO,VH,4,A,19.3,430,18.4,494,39.9,385,32.2,414,73.6,237,33,405,29.4
Utrecht University,120,124,Netherlands,XL,FC,VH,5,A,30.9,270,65.9,108,62.5,231,97.1,18,98.3,95,57.5,247,58.9
V.N. Karazin Kharkiv National University,491,481,Ukraine,L,FC,MD,5,A,29.1,292,30.7,314,24.3,585,27.7,452,98.6,87,94.8,83,34.9
Vanderbilt University,200,195,United States,L,FC,VH,5,A,35.3,234,23,411,68.4,200,52.8,200,99.2,76,69,188,49.2
Victoria University of Wellington,215,221,New Zealand,L,CO,VH,5,A,34.1,247,13,501,79.5,147,60.8,141,88.6,177,10.1,601,48.1
Vilnius University,458,488,Lithuania,L,FC,HI,5,A,35.3,236,47.3,183,28,540,56.4,168,3.4,601,1.6,601,36.1
Virginia Polytechnic Institute (Virginia Tech),327,338,United States,XL,FC,VH,5,A,42,188,29.9,320,12.2,601,67.9,103,64.1,273,56.6,256,42
Vrije Universiteit Amsterdam,219,231,Netherlands,L,FC,VH,5,A,38.8,214,57.2,139,41.5,370,49,241,92,153,80.6,146,48.1
Vrije Universiteit Brussel (VUB),195,188,Belgium,M,FC,VH,5,A,42,187,40.8,234,56.8,261,51.3,217,91,161,66,202,50.5
Wageningen University,125,125,Netherlands,L,FO,VH,5,B,62.9,104,78.3,80,85,114,30.6,432,15.4,601,33.1,404,58.7
Wake Forest University,398,387,United States,M,FC,VH,5,B,24.6,341,52.9,154,63.1,228,15.2,601,90.2,166,64.6,212,38.7
Waseda University,202,208,Japan,XL,CO,VH,5,A,48.6,160,38.3,249,52.5,289,37.9,348,79.1,222,69.8,184,49
Washington State University,400,391,United States,L,FC,VH,5,A,28.7,297,11,501,29.3,516,51.2,218,96.9,117,95.6,78,38.4
Washington University in St. Louis,108,100,United States,L,FC,VH,5,A,68.7,90,53.3,153,88.3,91,46,267,35.6,422,11.3,601,62.2
Wayne State University,484,439,United States,L,FC,VH,5,A,21,392,53.4,151,100,17,1.2,601,8.5,601,12.4,601,35.1
Western Sydney University,468,498,Australia,XL,FC,HI,3,A,16.4,500,10.4,501,27.5,548,55.7,177,9.3,601,5.5,601,25.1
Western University,211,214,Canada,L,FC,VH,5,A,35.4,232,10.4,501,97,50,47.9,250,59.5,298,20.3,526,48.3
Westfalische Wilhelms-Universitat Munster,347,329,Germany,XL,FC,VH,5,A,23.9,351,19.3,476,85.3,109,32.9,406,71.3,244,41.3,337,40.9
Wuhan University,257,257,China,XL,FC,VH,5,A,35.2,237,53.5,150,42.6,358,53.7,189,75.3,234,68.9,189,46.1
Xiamen University,451,476,China,XL,FC,VH,4,A,16.4,501,39.4,241,76.6,163,9.2,601,3.7,601,5.4,601,28.2
Xi'an Jiaotong University,307,313,China,XL,FC,VH,5,A,37.9,218,25.5,373,63.3,226,50.4,224,37.2,414,14.1,601,43.2
Yale University,17,15,United States,L,FC,VH,5,A,97.4,26,99.1,15,92.4,72,80.4,53,68,259,30.1,429,88.6
Yeshiva University,359,310,United States,M,FC,VH,5,A,46.4,170,33.7,285,43.6,349,36.4,372,12.7,601,22.6,498,39.8
Yokohama City University,468,460,Japan,S,CO,VH,5,A,21.8,383,7.3,501,52.6,286,72.9,80,10.8,601,10,601,35.7
Yonsei University,104,107,South Korea,L,FC,VH,5,B,40.1,203,22.7,414,84,123,93.6,26,89.8,170,90.6,106,63.1
Zhejiang University,54,68,China,XL,FC,VH,5,A,78.9,68,99.7,10,34.8,450,91.1,29,100,29,100,7,77
